,Unnamed: 0,Unnamed: 0.1,num_not_judged,prob_not_judged,n,N,n/N
397,397,397.0,0,0.0,1.0,1.0,1.0
398,398,398.0,0,0.0,1.0,1.0,1.0
399,399,399.0,0,0.0,1.0,1.0,1.0
400,400,400.0,1,0.0082644628099173,1.0,1.0,1.0
401,401,401.0,1,0.0082644628099173,1.0,1.0,1.0
402,402,402.0,0,0.0,1.0,1.0,1.0
403,403,403.0,0,0.0,1.0,1.0,1.0
404,404,404.0,0,0.0,1.0,1.0,1.0
405,405,405.0,0,0.0,1.0,1.0,1.0
406,406,406.0,0,0.0,1.0,1.0,1.0
407,407,407.0,0,0.0,1.0,1.0,1.0
408,408,408.0,0,0.0,1.0,1.0,1.0
409,409,409.0,0,0.0,1.0,1.0,1.0
410,410,410.0,0,0.0,1.0,1.0,1.0
411,411,411.0,0,0.0,1.0,1.0,1.0
412,412,412.0,1,0.0077519379844961,1.0,1.0,1.0
413,413,413.0,1,0.0077519379844961,1.0,1.0,1.0
414,414,414.0,0,0.0,1.0,1.0,1.0
415,415,415.0,0,0.0,1.0,1.0,1.0
416,416,416.0,0,0.0,1.0,1.0,1.0
417,417,417.0,0,0.0,1.0,1.0,1.0
418,418,418.0,0,0.0,1.0,1.0,1.0
419,419,419.0,1,0.0081967213114754,1.0,1.0,1.0
420,420,420.0,1,0.008130081300813,1.0,1.0,1.0
421,421,421.0,1,0.008130081300813,1.0,1.0,1.0
422,422,422.0,1,0.0040983606557377,1.0,2.0,0.5
423,423,423.0,0,0.0,1.0,2.0,0.5
424,424,424.0,0,0.0,1.0,1.0,1.0
425,425,425.0,1,0.008130081300813,1.0,1.0,1.0
426,426,426.0,0,0.0,1.0,1.0,1.0
427,427,427.0,0,0.0,1.0,1.0,1.0
428,428,428.0,0,0.0,1.0,1.0,1.0
429,429,429.0,0,0.0,1.0,1.0,1.0
430,430,430.0,1,0.0084745762711864,1.0,1.0,1.0
431,431,431.0,1,0.0084745762711864,1.0,1.0,1.0
432,432,432.0,1,0.0078740157480314,1.0,1.0,1.0
433,433,433.0,1,0.0078740157480314,1.0,1.0,1.0
434,434,434.0,0,0.0,1.0,1.0,1.0
435,435,435.0,0,0.0,1.0,1.0,1.0
436,436,436.0,1,0.0076923076923076,1.0,1.0,1.0
437,437,437.0,1,0.0076923076923076,1.0,1.0,1.0
438,438,438.0,0,0.0,1.0,1.0,1.0
439,439,439.0,0,0.0,1.0,1.0,1.0
440,440,440.0,1,0.0075187969924812,1.0,1.0,1.0
441,441,441.0,1,0.0075187969924812,1.0,1.0,1.0
442,442,442.0,2,0.0142857142857142,1.0,1.0,1.0
443,443,443.0,2,0.0142857142857142,1.0,1.0,1.0
444,444,444.0,0,0.0,1.0,1.0,1.0
445,445,445.0,1,0.0072992700729927,1.0,1.0,1.0
446,446,446.0,0,0.0,1.0,1.0,1.0
447,447,447.0,0,0.0,1.0,1.0,1.0
448,448,448.0,0,0.0,1.0,1.0,1.0
449,449,449.0,1,0.0072992700729927,1.0,1.0,1.0
450,450,450.0,0,0.0,0.0,0.0,0.0
451,451,451.0,0,0.0,0.0,0.0,0.0
452,452,452.0,0,0.0,0.0,0.0,0.0
453,453,453.0,0,0.0,0.0,0.0,0.0
454,454,454.0,0,0.0,0.0,0.0,0.0
455,455,455.0,0,0.0,0.0,0.0,0.0
